1,001
2,002
3,003
4,004
5,005
6,006
7,009
8,010
9,033
10,035
11,041
12,042
13,044
14,045
15,060
16,101
17,102
18,109
19,112
20,113
21,116
22,117
23,118
24,119
25,121
26,125
27,127
28,128
29,129
30,160
31,161
32,200
33,201
34,203
35,204
36,206
37,208
38,209
39,212
40,213
41,216
42,217
43,219
44,221
45,224
46,225
47,227
48,229
49,260
50,261
51,S11
52,S13
53,S15
54,S16
55,S18
56,S19
57,S22
58,S24
59,S27
60,S29
61,S35
62,TBZ
63,TH
64,TH1
65,Üfa
66,Winter
67,Vorne
68,Hinten
69,Hof
70,GalUt
